caseid,market,region,timezone,state,division,qs1,qs2,qs3,q1,q2,q3,q4,q5,q6,q6a_1,q6b_a,q6b_b,q6b_c,q6b_d,q6b_e,q6b_f,q6b_g,q6b_h,q6b_i,q6b_j,q6c_a,q6c_b,q6c_c,q6c_d,q7,q801,q901,q1001,q11,q12,q13,q14a,q14b,q14c,q14d,q15a,q15b,q16,q17,q18,q19,q20,q21,q22,q23a,q23b,q23c,q24a,q24b,q24c,q24d,q25a,q25b,q25c,q25d,q26,q27,q28,q29,q3001,q31,q32a,q32b,q32c,q32d,q32e,q33,q34,q3501,q36,q3701,q38,q39,q40,q41,q4201,q43,q44a,q44b,q44c,q44d,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54,bmi,q55,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q5701,q58,q59,q60a01,d101,d2,d3
16,south_3,South,E,MD,5,1,Female,Divorced,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,6,7:00 AM – 7:14 AM,12:00 AM (Midnight),6,A few nights a week,Rarely,Every night or almost every night, Never,A few nights a week,A few nights a week,A few nights a month,A few nights a week,A few nights a week,Rarely, Never,Yes,No,Yes,No,15 up to 30 minutes,Alone,With your significant other,Use an over-the-counter sleep aid,No,None, ,A few nights a week,Rarely,Rarely,A few nights a month, Never,Rarely, ,No, , , ,Never,No impact, , , , , , , , , , , , , ,A few nights a week,Yes,11,Somewhat difficult,A few nights a week,Rarely, Never, Never,A few nights a week,1 to 2 nights a week,1 to 2 nights a week,Light,7,Traffic or transportation problems,None,Don't Know,None,No,Do not watch TV/these programs before bed, Somewhat concerned,Mostly agree,Completely agree,Don't Know,Mostly agree,Morning person,03,00,Never,No, ,No, ,64,125,21.514892578125,Not at all,No,Yes,No,No,Yes,No,No,Yes,No info, , , ,1,074,Suburban
17,mid_3,Mid West,C,IA,4,1,Female,Widowed,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,A few nights a month, Never,A few nights a week, Never, Never,Every night or almost every night, Never, Never, Never, Never, Never,Yes,No,Yes,Yes,5 up to 10 minutes,Alone,Alone,Don't Know,No,None, , Never,Rarely,A few nights a month,Rarely,Rarely,Rarely,Better at night,No, , , ,Never,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,Never?,Never,Wake up on own,6,Do not work, , ,None,No intimate or sexual relationship,Do not watch TV/these programs before bed, Somewhat concerned,Mostly agree,Completely agree,Completely agree,Mostly disagree,Morning person,00,00,Never,No, ,No, ,60,Refused,99,Not at all,No,Yes,No,No,No,No,No,No,Unemployed, , , ,1,079,Suburban
18,mid_1,Mid West,E,OH,3,1,Female,Married,6:00 AM – 6:14 AM,10:30 PM – 10:44 PM,7.25,8:00 AM – 8:14 AM,12:00 AM (Midnight),8, , , , , , , , , , , , , , , ,10 up to 15 minutes,With your significant other,With your significant other,Self-treat it,No,None, ,Rarely,Every night or almost every night,Rarely,A few nights a month,Rarely,Rarely,About the same,Yes,Slightly louder than breathing,1 to 2 nights a month?,No,Never,No impact,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,None,No problems,A few nights a week,No,The need to go to the bathroom,Not very difficult, Never, Never,A few nights a week, Never, Never,1 to 2 nights a week,1 to 2 nights a week,Alarm clock,8,You are never late or tardy?,None,None,None,Yes,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Don't Know,Mostly agree,Morning person,01,04,Never,No, ,No, ,64,160,27.5390625,Not at all,No,Yes,No,No,No,No,No,No,Working full-time,Regular day shifts,050,1,1,042,Suburban
19,ne_1,Northeast,E,PA,2,1,Female,Widowed,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,A few nights a week,Rarely,Every night or almost every night,Rarely, Never,A few nights a week, Never,Rarely,A few nights a week,Rarely,Every night or almost every night,Yes,No,No,Yes,30 up to 45 minutes,Alone,Alone,Assume it will go away in time,No,2 or 3 times,30 to less than 45 minutes,A few nights a week,A few nights a week,A few nights a week,A few nights a month,A few nights a month,A few nights a week,About the same,Yes,As loud as talking,1 to 2 nights a month?,No,Never,No impact, , , , , , , , , , , , , ,A few nights a week,No,Noise,Somewhat difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Wake up on own,8,You are never late or tardy?,Refused,Refused,None,No intimate or sexual relationship,Makes it difficult for you to fall asleep,Very concerned,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Morning person,08,00,Never,No, ,No, ,65,155,25.8639053254438,Not at all,No,Yes,No,No,No,No,No,Yes,Retired, , , ,1,078,Suburban
20,ne_3,Northeast,E,PA,2,1,Female,Divorced,12:01 AM - 4:59 AM,10:00 PM – 10:14 PM,4,6:30 AM – 6:44 AM,11:45 PM – 11:59 PM,5,Every night or almost every night, Never,Every night or almost every night,A few nights a month, Never,A few nights a week, Never, Never,Every night or almost every night,Rarely,Every night or almost every night,Yes,No,Yes,Yes,30 up to 45 minutes,Alone,Alone,Assume it will go away in time,Yes,None, ,A few nights a week,Every night or almost every night,Every night or almost every night,Every night or almost every night,Every night or almost every night,Every night or almost every night,About the same,Yes,Slightly louder than breathing,Every night or almost every night,No,Never, , , , , , , , , , , , , , ,A few nights a month,Yes,Something else,Somewhat difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Alarm clock,4,You are never late or tardy?,None,None,None,No intimate or sexual relationship,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly agree,Completely agree,Mostly agree,Completely agree,Morning person,10,00,1 to 2 times a week,No, ,No,Less often or never?,67,170,26.6985965693918,Every day,No,No,Yes,No,No,No,Yes,No,Working part-time,Rotating shifts,036,3,2,030,Suburban
21,ne_1,Northeast,E,NY,2,1,Male,Married,8:00 AM – 8:14 AM,12:00 AM (Midnight),7,9:00 AM – 9:14 AM,12:00 AM (Midnight),8,A few nights a week,Rarely,A few nights a month,Rarely,A few nights a month,Every night or almost every night,A few nights a month, Never,A few nights a month,A few nights a week,A few nights a week,No,No,No,Yes,10 up to 15 minutes,With your significant other,With your significant other,Don't Know,No,2 or 3 times,1 hour or more?,Rarely,Rarely,A few nights a month,A few nights a month, Never, Never, ,Yes,Louder than talking,Every night or almost every night,Yes,Never,No impact,No,No,No,No,Not sure,Yes,Yes,Yes,No,No,No,015,Little problems,A few nights a week,No,The need to go to the bathroom,Not very difficult, Never, Never,A few nights a week, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Bed partner,6,Traffic or transportation problems,None,None,None,Don’t know,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Evening person,04,12,Never,No, ,Yes,Less often or never?,66,215,34.7968319559229,Not at all,Yes,No,No,No,Yes,No,No,Yes,Working part-time,No info,020,3,1,064,Urban
22,mid_1,Mid West,E,OH,3,1,Female,Divorced,6:30 AM – 6:44 AM,11:00 PM – 11:14 PM,7.5,8:30 AM – 8:44 AM,11:45 PM – 11:59 PM,8,A few nights a week,Rarely,Every night or almost every night,A few nights a month,Rarely,A few nights a month, Never, Never,Rarely,Rarely, Never,Yes,No,Yes,Yes,15 up to 30 minutes,Alone,Alone,11,No,2 or 3 times,1 hour or more?,Rarely,Rarely,Rarely,Rarely, Never, Never, ,Yes,Slightly louder than breathing,1 to 2 nights a month?,Yes,Don't Know,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,The need to go to the bathroom,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,7,You were too sleepy when you woke up,None,None,None,No,Do not watch TV/these programs before bed,Very concerned,Mostly agree,Completely agree,Mostly disagree,Mostly agree,Morning person,01,01,Never,No, ,No, ,66,Don't Know,99,Not at all,No,No,No,No,No,No,No,Yes,Working part-time,No info,015,3,1,061,Suburban
23,west_3,West,M,CO,8,1,Male,Married,6:00 AM – 6:14 AM,10:30 PM – 10:44 PM,7,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,Rarely, Never,Every night or almost every night, Never,Rarely,Every night or almost every night,A few nights a week, Never,Rarely, Never, Never,No,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Assume it will go away in time,No,2 or 3 times,15 to less than 30 minutes,A few nights a week,Every night or almost every night,Every night or almost every night,Rarely, Never,Every night or almost every night, ,Yes,Slightly louder than breathing,Every night or almost every night,Yes,Never, ,No,No,No,No,Yes,Yes,No,No,No,No,No,030,No problems,A few nights a week,No,Noise,Very difficult, Never, Never,Rarely, Never, Never,1 to 2 nights a week,1 to 2 nights a week,Wake up on own,7,You are never late or tardy?,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Morning person,03,06,1 to 2 times a month,No, ,Yes,Less often or never?,74,210,27.036157779401,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,040,3,1,044,Rural
24,west_3,West,M,UT,8,1,Female,Married,8:00 AM – 8:14 AM,1:00 AM – 1:59 AM,7,9:00 AM – 9:14 AM,12:00 PM (Noon) – 6:59 PM,8,Every night or almost every night, Never,Every night or almost every night,A few nights a month, Never,Every night or almost every night,A few nights a month, Never,Every night or almost every night, Never, Never,No,No,Yes,Yes,15 up to 30 minutes,With your children,With your significant other,Assume it will go away in time,Yes,None, ,A few nights a week, Never,A few nights a month,Every night or almost every night,A few nights a week,Every night or almost every night,Don't Know,No, , , ,1 to 2 nights a month?,Severe impact,No,Yes,No,No,No,Yes,Don't Know,Yes,Yes,No,No,None,Moderate problems,A few nights a week,No,Someone else,Somewhat difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,3 to 4 nights a week,Alarm clock,8.5,Do not work, , ,6 to 10 days,No,Has some other impact on your sleep, Somewhat concerned,Completely disagree,Completely agree,Mostly agree,Completely agree,Evening person,00,00,Never,No, ,No, ,69,325,48.1253938248267,Not at all,No,No,Yes,Yes,Yes,Yes,Yes,No,A homemaker, , , ,1,040,Urban
25,west_3,West,P,CA,9,1,Male,Married,5:00 AM – 5:14 AM,10:30 PM – 10:44 PM,6,9:00 AM – 9:14 AM,10:30 PM – 10:44 PM,6,A few nights a week,A few nights a week,A few nights a week, Never,A few nights a week,Every night or almost every night,Every night or almost every night,A few nights a week, Never, Never,A few nights a week,No,Yes,Yes,No,45 minutes up to 1 hour,With your significant other,With your significant other,Get recommendations from family/friends,Yes,2 or 3 times,1 hour or more?,Every night or almost every night,A few nights a month,Every night or almost every night,A few nights a week, Never,Every night or almost every night, ,No, , , ,Never, ,No,No,No,No,No,No,Yes,No,No,No,No,None,No problems,A few nights a week,No,Noise,Somewhat difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Alarm clock,7,You are never late or tardy?,None,1 to 2 days,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Morning person,01,02,Less than once a month,No, ,Yes,Less often or never?,64,165,28.399658203125,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,050,7,3,033,Urban
